"F","DV","id"
"F1",17.5465593239116,1
"F1",-6.68330033560865,2
"F1",10.5744145951576,3
"F1",10.5575719764246,4
"F1",18.0047544401149,5
"F2",20.1226151188017,6
"F2",14.7731877439507,7
"F2",22.6126298770237,8
"F2",34.7130701161162,9
"F2",7.77849714410764,10
"F3",18.9360683488361,11
"F3",9.51797196000482,12
"F3",21.2270300609662,13
"F3",-0.15347447062808,14
"F3",0.472404100820963,15
"F4",26.4655591039654,16
"F4",36.2429303279616,17
"F4",53.66740681361,18
"F4",39.6512344287962,19
"F4",43.9728693256668,20
