"A","B","pDV","id"
"A1","B1",0,1
"A1","B1",0,2
"A1","B1",0,3
"A1","B1",1,4
"A1","B1",0,5
"A1","B1",0,6
"A1","B1",0,7
"A1","B1",0,8
"A1","B1",0,9
"A1","B1",0,10
"A1","B1",0,11
"A1","B1",1,12
"A1","B1",0,13
"A1","B1",0,14
"A1","B1",1,15
"A1","B1",0,16
"A1","B1",1,17
"A1","B1",0,18
"A1","B1",1,19
"A1","B1",1,20
"A1","B1",0,21
"A1","B1",0,22
"A1","B1",1,23
"A1","B1",0,24
"A1","B1",0,25
"A1","B1",0,26
"A1","B1",0,27
"A1","B1",0,28
"A1","B1",0,29
"A1","B1",0,30
"A1","B1",0,31
"A1","B1",0,32
"A1","B1",0,33
"A1","B1",0,34
"A1","B1",0,35
"A1","B1",0,36
"A1","B1",0,37
"A1","B1",0,38
"A1","B1",0,39
"A1","B1",0,40
"A1","B1",0,41
"A1","B1",0,42
"A1","B1",0,43
"A1","B1",1,44
"A1","B1",1,45
"A1","B1",1,46
"A1","B1",0,47
"A1","B1",0,48
"A1","B1",0,49
"A1","B1",0,50
"A1","B2",1,51
"A1","B2",1,52
"A1","B2",0,53
"A1","B2",0,54
"A1","B2",1,55
"A1","B2",0,56
"A1","B2",1,57
"A1","B2",1,58
"A1","B2",0,59
"A1","B2",0,60
"A1","B2",0,61
"A1","B2",1,62
"A1","B2",0,63
"A1","B2",1,64
"A1","B2",1,65
"A1","B2",1,66
"A1","B2",0,67
"A1","B2",0,68
"A1","B2",0,69
"A1","B2",1,70
"A1","B2",0,71
"A1","B2",0,72
"A1","B2",0,73
"A1","B2",1,74
"A1","B2",1,75
"A1","B2",0,76
"A1","B2",1,77
"A1","B2",0,78
"A1","B2",1,79
"A1","B2",1,80
"A1","B2",1,81
"A1","B2",1,82
"A1","B2",0,83
"A1","B2",0,84
"A1","B2",0,85
"A1","B2",1,86
"A1","B2",1,87
"A1","B2",1,88
"A1","B2",1,89
"A1","B2",0,90
"A1","B2",0,91
"A1","B2",0,92
"A1","B2",0,93
"A1","B2",1,94
"A1","B2",1,95
"A1","B2",0,96
"A1","B2",0,97
"A1","B2",1,98
"A1","B2",0,99
"A1","B2",1,100
"A2","B1",0,101
"A2","B1",0,102
"A2","B1",0,103
"A2","B1",1,104
"A2","B1",0,105
"A2","B1",0,106
"A2","B1",0,107
"A2","B1",0,108
"A2","B1",0,109
"A2","B1",0,110
"A2","B1",0,111
"A2","B1",0,112
"A2","B1",0,113
"A2","B1",0,114
"A2","B1",1,115
"A2","B1",0,116
"A2","B1",0,117
"A2","B1",0,118
"A2","B1",0,119
"A2","B1",1,120
"A2","B1",0,121
"A2","B1",0,122
"A2","B1",0,123
"A2","B1",0,124
"A2","B1",1,125
"A2","B1",0,126
"A2","B1",0,127
"A2","B1",0,128
"A2","B1",0,129
"A2","B1",1,130
"A2","B1",0,131
"A2","B1",0,132
"A2","B1",0,133
"A2","B1",1,134
"A2","B1",0,135
"A2","B1",1,136
"A2","B1",0,137
"A2","B1",1,138
"A2","B1",1,139
"A2","B1",0,140
"A2","B1",0,141
"A2","B1",0,142
"A2","B1",1,143
"A2","B1",0,144
"A2","B1",0,145
"A2","B1",0,146
"A2","B1",0,147
"A2","B1",0,148
"A2","B1",0,149
"A2","B1",0,150
"A2","B2",1,151
"A2","B2",1,152
"A2","B2",1,153
"A2","B2",1,154
"A2","B2",1,155
"A2","B2",0,156
"A2","B2",1,157
"A2","B2",0,158
"A2","B2",0,159
"A2","B2",1,160
"A2","B2",1,161
"A2","B2",1,162
"A2","B2",1,163
"A2","B2",1,164
"A2","B2",1,165
"A2","B2",0,166
"A2","B2",1,167
"A2","B2",1,168
"A2","B2",1,169
"A2","B2",1,170
"A2","B2",1,171
"A2","B2",0,172
"A2","B2",1,173
"A2","B2",1,174
"A2","B2",1,175
"A2","B2",1,176
"A2","B2",1,177
"A2","B2",1,178
"A2","B2",1,179
"A2","B2",1,180
"A2","B2",1,181
"A2","B2",0,182
"A2","B2",1,183
"A2","B2",0,184
"A2","B2",1,185
"A2","B2",0,186
"A2","B2",1,187
"A2","B2",1,188
"A2","B2",0,189
"A2","B2",1,190
"A2","B2",1,191
"A2","B2",0,192
"A2","B2",1,193
"A2","B2",1,194
"A2","B2",1,195
"A2","B2",1,196
"A2","B2",1,197
"A2","B2",1,198
"A2","B2",1,199
"A2","B2",1,200
